Nombre de Cœurs,Requête,Temps d'Exécution (s),Taille de la Base de Données
1,publications_per_year,0.03664350509643555,30000
1,top_domains_by_year,0.026810169219970703,30000
1,domains_no_publications_since,0.01346588134765625,30000
1,average_publications_per_domain,0.030362367630004883,30000
1,most_active_authors,0.019965648651123047,30000
1,domains_in_year_range,0.01910567283630371,30000
1,top_authors_by_domain,0.016681432723999023,30000
1,publication_trends,0.013717889785766602,30000
2,publications_per_year,0.022779226303100586,30000
2,top_domains_by_year,0.02055048942565918,30000
2,domains_no_publications_since,0.009142160415649414,30000
2,average_publications_per_domain,0.010412216186523438,30000
2,most_active_authors,0.01852273941040039,30000
2,domains_in_year_range,0.01616668701171875,30000
2,top_authors_by_domain,0.012877225875854492,30000
2,publication_trends,0.016306161880493164,30000
4,publications_per_year,0.01985454559326172,30000
4,top_domains_by_year,0.018095970153808594,30000
4,domains_no_publications_since,0.011481523513793945,30000
4,average_publications_per_domain,0.010516881942749023,30000
4,most_active_authors,0.011121511459350586,30000
4,domains_in_year_range,0.013059377670288086,30000
4,top_authors_by_domain,0.011122465133666992,30000
4,publication_trends,0.013131380081176758,30000
1,publications_per_year,0.5057,400000
1,top_domains_by_year,0.42449,400000
1,domains_no_publications_since,0.39752,400000
1,average_publications_per_domain,0.41207,400000
1,most_active_authors,0.38328,400000
1,domains_in_year_range,0.4181,400000
2,publications_per_year,0.4951,400000
2,top_domains_by_year,0.41581,400000
2,domains_no_publications_since,0.3897,400000
2,average_publications_per_domain,0.41171,400000
2,most_active_authors,0.3837,400000
2,domains_in_year_range,0.4171,400000
4,publications_per_year,0.4969,400000
4,top_domains_by_year,0.42171,400000
4,domains_no_publications_since,0.3915,400000
4,average_publications_per_domain,0.41033,400000
4,most_active_authors,0.38226,400000
4,domains_in_year_range,0.42001,400000
